     1	('NN',)	131382
     2	('SENT',)	90007
     3	('DT',)	73602
     4	('IN',)	70751
     5	('PP',)	68457
     6	('NP',)	57575
     7	('NNS',)	53762
     8	('JJ',)	51756
     9	('RB',)	47837
    10	(',',)	37898
    11	('VV',)	37120
    12	('CC',)	27151
    13	('VVP',)	24156
    14	('TO',)	20898
    15	('POS',)	19053
    16	('VVD',)	17146
    17	('CD',)	15567
    18	('PP$',)	14840
    19	('VVG',)	12384
    20	('MD',)	11102
    21	('VBZ',)	10387
    22	('VBP',)	7903
    23	('VVZ',)	7732
    24	('VVN',)	7633
    25	('VBD',)	7484
    26	('WRB',)	7467
    27	(u"''",)	6709
    28	(':',)	6590
    29	('WP',)	5541
    30	('SYM',)	4904
    31	('VHP',)	4106
    32	('UH',)	3572
    33	('VB',)	2846
    34	('RP',)	2841
    35	('IN/that',)	2816
    36	(')',)	2733
    37	('EX',)	2649
    38	('WDT',)	2574
    39	('(',)	2511
    40	('JJR',)	2398
    41	('JJS',)	1743
    42	('VHZ',)	1632
    43	('VH',)	1553
    44	('RBR',)	1519
    45	('VHD',)	1376
    46	('VBN',)	786
    47	('PDT',)	762
    48	('``',)	755
    49	('NPS',)	672
    50	('RBS',)	543
    51	('FW',)	371
    52	('LS',)	253
    53	('VHG',)	253
    54	('$',)	242
    55	('VBG',)	207
    56	('WP$',)	57
    57	('VHN',)	51
    58	('DT', 'NN')	40995
    59	('NN', 'SENT')	32852
    60	('IN', 'DT')	24168
    61	('NN', 'IN')	21283
    62	('JJ', 'NN')	18791
    63	('DT', 'JJ')	13521
    64	('PP', 'VVP')	13234
    65	('POS', 'NN')	12760
    66	('TO', 'VV')	12435
    67	('NNS', 'SENT')	11871
    68	('NN', 'NN')	11583
    69	('NP', 'NP')	11457
    70	('NN', ',')	10464
    71	('NP', 'SENT')	10361
    72	('JJ', 'NNS')	9753
    73	('NNS', 'IN')	9558
    74	('IN', 'NN')	9527
    75	('PP$', 'NN')	8949
    76	('NP', ',')	7998
    77	('RB', 'SENT')	7689
    78	('PP', 'POS')	7620
    79	('DT', 'NNS')	7610
    80	('IN', 'NP')	7518
    81	(',', 'PP')	7231
    82	('VV', 'DT')	7216
    83	('PP', 'VVD')	7149
    84	('NN', 'CC')	7108
    85	('JJ', 'SENT')	6842
    86	('NP', 'POS')	6828
    87	('IN', 'PP')	6190
    88	('NN', 'RB')	5844
    89	('RB', 'VV')	5649
    90	('PP', 'MD')	5492
    91	('RB', 'JJ')	5326
    92	('VV', 'PP')	5199
    93	('PP', 'SENT')	4956
    94	('IN', 'NNS')	4903
    95	('IN', 'PP$')	4883
    96	(',', 'CC')	4868
    97	('CC', 'PP')	4659
    98	('MD', 'VV')	4647
    99	('NNS', ',')	4618
   100	('NN', 'NNS')	4495
   101	('VV', 'IN')	4455
   102	('CD', 'NNS')	4284
   103	('NNS', 'VVP')	4068
   104	('RB', ',')	4026
   105	('NNS', 'CC')	4005
   106	(',', 'NP')	3958
   107	('VVP', 'PP')	3817
   108	('NN', 'VBZ')	3787
   109	('DT', 'NP')	3772
   110	('IN', 'JJ')	3755
   111	('VVP', 'RB')	3736
   112	('PP', 'RB')	3681
   113	('IN', 'CD')	3524
   114	('PP', 'VV')	3485
   115	('POS', 'NNS')	3346
   116	('RB', 'RB')	3300
   117	('JJ', 'IN')	3268
   118	('PP', 'VBD')	3245
   119	('VVD', 'DT')	3097
   120	('NN', 'TO')	3081
   121	('RB', 'IN')	3028
   122	('NN', 'VVD')	3007
   123	('PP$', 'NNS')	2967
   124	(',', 'RB')	2932
   125	('CC', 'NN')	2881
   126	('TO', 'DT')	2790
   127	('VVP', 'DT')	2671
   128	('VV', 'SENT')	2655
   129	('VVN', 'IN')	2648
   130	('VVP', 'TO')	2514
   131	('CC', 'DT')	2487
   132	('JJ', 'JJ')	2452
   133	(',', 'DT')	2451
   134	('RB', 'PP')	2388
   135	('VV', 'TO')	2359
   136	('VVD', 'PP')	2351
   137	('MD', 'RB')	2344
   138	('WRB', 'PP')	2319
   139	('NN', 'DT')	2301
   140	('NN', 'POS')	2288
   141	('NN', 'PP')	2286
   142	('NP', 'CC')	2284
   143	('VV', 'NN')	2263
   144	('CC', 'NNS')	2249
   145	('PP$', 'JJ')	2243
   146	('CD', 'NN')	2242
   147	('VVP', 'IN')	2205
   148	('JJ', ',')	2187
   149	('PP', 'VHP')	2168
   150	('CC', 'VV')	2155
   151	('NNS', 'RB')	2135
   152	('VBZ', 'DT')	2132
   153	('NNS', 'VBP')	2130
   154	('SENT', u"''")	2117
   155	('RB', 'VVP')	2099
   156	('PP', 'IN')	2093
   157	('NP', 'IN')	2092
   158	(',', 'IN')	2043
   159	('PP', 'VVZ')	2043
   160	('MD', 'PP')	2011
   161	('VBZ', 'RB')	2003
   162	('JJ', 'CC')	1984
   163	('CC', 'JJ')	1982
   164	('UH', ',')	1976
   165	('VV', 'PP$')	1940
   166	(',', 'NN')	1935
   167	('NN', 'JJ')	1922
   168	('NN', 'VVZ')	1907
   169	('VVG', 'TO')	1889
   170	('NP', 'NN')	1871
   171	('RB', 'DT')	1848
   172	('VVG', 'DT')	1846
   173	('VVG', 'IN')	1815
   174	('NP', 'VVD')	1793
   175	('CC', 'NP')	1786
   176	('NN', 'VVG')	1763
   177	('VVD', 'IN')	1743
   178	('VV', 'RB')	1741
   179	('VVD', 'TO')	1729
   180	('NN', 'NP')	1720
   181	('VVP', 'SENT')	1706
   182	('PP', 'VBP')	1706
   183	('VBD', 'RB')	1701
   184	('JJ', 'TO')	1700
   185	('VV', 'NNS')	1663
   186	('POS', 'JJ')	1611
   187	('NNS', 'JJ')	1605
   188	(',', 'NNS')	1571
   189	('VBP', 'RB')	1570
   190	('CC', 'RB')	1559
   191	('NN', ':')	1544
   192	('VVD', 'RB')	1530
   193	('RB', 'VVN')	1501
   194	('NP', 'VBZ')	1489
   195	('NNS', 'TO')	1437
   196	('NP', 'PP')	1405
   197	('VV', 'JJ')	1403
   198	(',', 'JJ')	1379
   199	('NNS', 'DT')	1376
   200	('IN', 'VVG')	1376
   201	('PP', 'VBZ')	1364
   202	('NN', 'CD')	1327
   203	('JJ', 'NP')	1325
   204	('CD', ',')	1302
   205	('VVP', 'NN')	1302
   206	('VBZ', 'JJ')	1283
   207	('SYM', 'PP')	1257
   208	('VBP', 'PP')	1250
   209	('NN', 'VBD')	1215
   210	('VBD', 'DT')	1212
   211	('RB', 'VVD')	1197
   212	('TO', 'NP')	1168
   213	('CD', 'IN')	1167
   214	('VVG', 'NN')	1146
   215	('UH', 'SENT')	1139
   216	('NNS', 'MD')	1095
   217	('VBP', 'JJ')	1084
   218	(',', 'CD')	1083
   219	('MD', 'VB')	1077
   220	('VVZ', 'DT')	1077
   221	('PP', 'SYM')	1062
   222	('EX', 'VBP')	1059
   223	('NN', 'MD')	1047
   224	('NNS', 'VVD')	1043
   225	('IN', 'RB')	1037
   226	('PP', u"''")	1016
   227	('VVZ', 'IN')	1012
   228	('VV', 'RP')	1010
   229	('VHP', 'DT')	993
   230	(u"''", 'VVG')	993
   231	('NP', 'VVZ')	990
   232	('PP', ',')	984
   233	(',', 'UH')	983
   234	('VBD', 'JJ')	980
   235	('RB', 'CD')	964
   236	('NP', 'RB')	962
   237	('VVD', 'SENT')	959
   238	('CD', 'SENT')	955
   239	('VVZ', 'PP')	926
   240	('CC', 'IN')	915
   241	('VB', 'JJ')	913
   242	('VVG', 'SENT')	912
   243	('NN', 'SYM')	910
   244	('VVG', 'PP$')	909
   245	('VVP', 'JJ')	901
   246	('DT', 'JJS')	897
   247	('VVP', 'NNS')	896
   248	('CC', 'VVD')	888
   249	('VVZ', 'RB')	884
   250	('NN', 'VVP')	871
   251	('VVN', 'SENT')	864
   252	('RP', 'IN')	859
   253	('NP', ':')	847
   254	(':', 'PP')	835
   255	('VBP', 'DT')	831
   256	('PP', 'DT')	824
   257	('VBD', 'VVN')	822
   258	('NNS', 'PP')	820
   259	('NP', 'CD')	820
   260	('PP', 'TO')	817
   261	('TO', 'NN')	812
   262	('IN/that', 'PP')	801
   263	('CD', 'CD')	795
   264	('VBD', 'VVG')	789
   265	('VVG', 'NNS')	771
   266	('JJS', 'NN')	765
   267	('RB', 'VVG')	762
   268	('CC', 'PP$')	761
   269	('VVD', 'PP$')	758
   270	('TO', 'VB')	755
   271	('PP', 'VVG')	747
   272	('NN', 'WRB')	747
   273	('DT', 'IN')	739
   274	(',', 'VV')	735
   275	(':', 'NP')	735
   276	('SYM', 'NN')	731
   277	('NNS', 'VHP')	728
   278	('VV', ',')	723
   279	('RB', 'CC')	722
   280	('DT', 'CD')	715
   281	(',', 'VVP')	712
   282	('RB', 'TO')	712
   283	('PP', 'VHD')	709
   284	('IN', 'SENT')	707
   285	('JJR', 'IN')	692
   286	('DT', 'SENT')	674
   287	('NP', 'VBD')	669
   288	('NNS', ':')	669
   289	('CC', 'CD')	668
   290	('VVD', 'NN')	665
   291	('VVD', 'NP')	665
   292	('NNS', 'VVG')	660
   293	('RB', 'VVZ')	658
   294	('NP', 'NNS')	657
   295	('VBP', 'VVG')	657
   296	('VVN', 'DT')	652
   297	('CD', 'JJ')	651
   298	('VV', 'CC')	645
   299	('PP', 'JJ')	641
   300	(')', 'SENT')	635
   301	(',', 'WDT')	627
   302	('NNS', 'NN')	627
   303	('NN', ')')	626
   304	('VVN', 'TO')	625
   305	('WRB', 'RB')	623
   306	('IN', 'IN')	622
   307	('DT', 'VBZ')	620
   308	('PDT', 'DT')	620
   309	('WRB', 'JJ')	618
   310	('VVP', 'PP$')	615
   311	('WP', 'VVP')	614
   312	('NP', 'DT')	611
   313	('CD', 'CC')	608
   314	('VVZ', 'TO')	604
   315	('VVP', ',')	601
   316	('RB', 'VH')	584
   317	('VVG', 'RB')	583
   318	('DT', 'RB')	578
   319	('VBZ', 'IN')	557
   320	('NN', 'WDT')	555
   321	('PP', 'CC')	555
   322	('VBZ', 'NP')	552
   323	(u"''", 'IN')	551
   324	('VH', 'DT')	551
   325	('VBZ', 'PP')	548
   326	('NN', 'VVN')	543
   327	('VHP', 'RB')	536
   328	('VBZ', 'VVN')	536
   329	(',', u"''")	534
   330	('JJR', 'NN')	528
   331	('VVD', 'RP')	527
   332	('WP', 'POS')	526
   333	('NN', '(')	525
   334	('NNS', 'WDT')	525
   335	('DT', ':')	517
   336	('WP', 'PP')	516
   337	('TO', 'PP$')	515
   338	('WRB', 'VVP')	515
   339	('VBZ', 'VVG')	514
   340	('VVZ', 'NN')	509
   341	('RP', 'SENT')	494
   342	('VVD', 'JJ')	494
   343	('NNS', 'VBD')	487
   344	('VHP', 'TO')	486
   345	('VV', 'NP')	479
   346	('CD', 'NP')	479
   347	('EX', u"''")	478
   348	('VVG', 'JJ')	473
   349	('RBS', 'JJ')	473
   350	(u"''", 'NNS')	472
   351	('TO', 'PP')	471
   352	('VV', 'CD')	470
   353	('VBD', 'IN')	470
   354	('JJ', 'CD')	466
   355	('CC', 'VVG')	462
   356	('RBR', 'JJ')	462
   357	('VBP', 'VVN')	461
   358	('EX', 'VBD')	457
   359	('NN', 'VHZ')	456
   360	('VVD', ',')	456
   361	(u"''", 'NN')	455
   362	(',', 'WRB')	454
   363	(',', 'VVG')	452
   364	('EX', 'VBZ')	452
   365	('PP', 'VHZ')	450
   366	('VV', 'WRB')	450
   367	('WP', 'VVD')	448
   368	('NN', 'VV')	448
   369	('RP', 'DT')	448
   370	('IN/that', 'POS')	447
   371	('VHP', 'PP')	443
   372	('RB', 'NN')	442
   373	('VVZ', 'JJ')	433
   374	(',', 'PP$')	432
   375	(':', 'DT')	431
   376	(',', 'EX')	429
   377	('VHD', 'DT')	428
   378	('VVP', 'IN/that')	427
   379	('NP', 'JJ')	427
   380	('VVD', 'NNS')	422
   381	('JJS', 'NNS')	421
   382	('WRB', 'DT')	421
   383	('VVG', 'PP')	421
   384	('WP', 'VBP')	418
   385	('JJR', 'NNS')	415
   386	(',', 'VVD')	413
   387	('NNS', 'VVN')	409
   388	('IN/that', 'DT')	408
   389	('SYM', ':')	406
   390	('NP', 'NPS')	402
   391	('RB', 'VBN')	401
   392	('JJ', 'RB')	400
   393	(':', 'NN')	399
   394	('JJ', 'PP')	395
   395	('NN', 'WP')	393
   396	('VVN', 'NN')	392
   397	('WP', 'NN')	392
   398	('VB', 'DT')	391
   399	('NN', 'VBP')	391
   400	('NP', 'TO')	390
   401	('WP', 'VVZ')	389
   402	('CC', 'VVP')	389
   403	('NP', 'MD')	386
   404	('NNS', 'POS')	382
   405	('WRB', 'VBP')	379
   406	('VHP', 'VVN')	373
   407	('VBP', 'NNS')	370
   408	('TO', 'NNS')	368
   409	('VBP', 'IN')	367
   410	(',', 'WP')	366
   411	(u"''", 'NP')	365
   412	('DT', 'RBS')	363
   413	(':', 'UH')	357
   414	('VVZ', 'SENT')	355
   415	(u"''", 'PP')	355
   416	('NN', 'IN/that')	354
   417	('NNS', 'WP')	352
   418	('WDT', 'POS')	350
   419	('MD', 'VH')	347
   420	('VHZ', 'DT')	346
   421	('RB', 'VB')	343
   422	('POS', 'NP')	343
   423	('CC', 'VVZ')	343
   424	('CD', 'RB')	342
   425	('VB', 'VVN')	340
   426	('RB', ':')	337
   427	(':', 'CD')	336
   428	('RB', 'SYM')	336
   429	('DT', 'VVG')	336
   430	('VBP', 'SENT')	332
   431	('VVP', 'VVG')	330
   432	('WP', 'VBZ')	329
   433	('VV', 'VVG')	329
   434	('VBZ', 'NN')	328
   435	('RBR', 'SENT')	320
   436	('WRB', 'VVD')	320
   437	('(', 'NN')	319
   438	(':', 'RB')	318
   439	('NP', 'VVP')	315
   440	('VVG', 'RP')	314
   441	('VHZ', 'VVN')	314
   442	('NP', '(')	313
   443	('VV', 'WP')	310
   444	('TO', 'CD')	309
   445	('CC', 'WRB')	309
   446	('VBD', 'PP')	309
   447	('WDT', 'VVZ')	308
   448	('NNS', 'VV')	307
   449	('VB', 'RB')	306
   450	('RB', 'NP')	306
   451	('VVN', 'RB')	304
   452	('VVD', 'CD')	303
   453	('PP', 'NN')	298
   454	('VBZ', 'PP$')	298
   455	(',', 'MD')	296
   456	('VVP', 'RP')	295
   457	('VVZ', 'NP')	293
   458	('VVD', 'IN/that')	291
   459	('DT', ',')	288
   460	('NNS', '(')	288
   461	('CC', 'EX')	287
   462	('WP', 'MD')	286
   463	('VHP', 'NN')	286
   464	('NP', ')')	285
   465	('SYM', 'JJ')	282
   466	('RB', 'WRB')	281
   467	('NNS', 'WRB')	278
   468	('SYM', 'RB')	275
   469	('NP', 'VHZ')	274
   470	('NN', 'RBR')	274
   471	('VBZ', 'CD')	274
   472	('VBZ', 'SENT')	273
   473	('NN', u"''")	271
   474	('RB', 'VHP')	271
   475	('NNS', 'NNS')	271
   476	('POS', 'RB')	271
   477	('VVG', 'CC')	267
   478	('WDT', 'VBZ')	267
   479	('WDT', 'NN')	266
   480	('VVD', 'VVG')	266
   481	('VVZ', 'NNS')	261
   482	('RB', 'VBZ')	259
   483	('VH', 'TO')	256
   484	(':', 'IN')	254
   485	('(', ')')	254
   486	('SYM', 'DT')	254
   487	('TO', 'VH')	254
   488	('JJR', 'SENT')	252
   489	('VVN', 'NNS')	251
   490	('WDT', 'VVP')	249
   491	(',', 'VBZ')	249
   492	('WP', 'VBD')	248
   493	('VVN', 'NP')	248
   494	('JJ', ':')	248
   495	('WP', u"''")	247
   496	('(', 'NP')	243
   497	(',', 'FW')	242
   498	('VVP', 'CC')	240
   499	('VVP', 'NP')	239
   500	('VBP', 'CD')	239
   501	('$', 'CD')	238
   502	('VVG', ',')	238
   503	('WRB', 'SENT')	237
   504	('PP', 'PP')	237
   505	(':', 'JJ')	236
   506	('VVZ', 'PP$')	234
   507	('IN', ',')	232
   508	('VHZ', 'RB')	231
   509	(')', 'IN')	231
   510	('CC', 'VVN')	230
   511	('DT', 'JJR')	230
   512	('WP', 'IN')	227
   513	('VV', 'IN/that')	226
   514	('VVG', 'NP')	223
   515	('PP', 'RP')	222
   516	('WRB', 'TO')	221
